Id,Name,IsDeleted,CreatedDate,LastModifiedDate,SystemModstamp,LastViewedDate,LastReferencedDate,HealthCloudGA__Active__c,HealthCloudGA__ConditionCode__c,HealthCloudGA__HCCCode__c,HealthCloudGA__ValidFrom__c,HealthCloudGA__ValidThrough__c,HealthCloudGA__YearConditionCodeHCCCode__c
a0x3h000000vRg1AAE,Map-177,false,2020-06-24T15:33:37.000+0000,2020-06-24T15:33:37.000+0000,2020-06-24T15:33:37.000+0000,,,true,C8175,HCC10,2014,,C8175HCC102014
a0x3h000000vRg2AAE,Map-178,false,2020-06-24T15:33:37.000+0000,2020-06-24T15:33:37.000+0000,2020-06-24T15:33:37.000+0000,,,true,C8176,HCC10,2014,,C8176HCC102014
a0x3h000000vRg3AAE,Map-179,false,2020-06-24T15:33:37.000+0000,2020-06-24T15:33:37.000+0000,2020-06-24T15:33:37.000+0000,,,true,C8177,HCC10,2014,,C8177HCC102014
a0x3h000000vRg4AAE,Map-180,false,2020-06-24T15:33:37.000+0000,2020-06-24T15:33:37.000+0000,2020-06-24T15:33:37.000+0000,,,true,C8178,HCC10,2014,,C8178HCC102014
a0x3h000000vRg5AAE,Map-181,false,2020-06-24T15:33:37.000+0000,2020-06-24T15:33:37.000+0000,2020-06-24T15:33:37.000+0000,,,true,C8179,HCC10,2014,,C8179HCC102014
a0x3h000000vRg6AAE,Map-182,false,2020-06-24T15:33:37.000+0000,2020-06-24T15:33:37.000+0000,2020-06-24T15:33:37.000+0000,,,true,C8190,HCC10,2014,,C8190HCC102014
a0x3h000000vRg7AAE,Map-183,false,2020-06-24T15:33:37.000+0000,2020-06-24T15:33:37.000+0000,2020-06-24T15:33:37.000+0000,,,true,C8191,HCC10,2014,,C8191HCC102014
a0x3h000000vRg8AAE,Map-184,false,2020-06-24T15:33:37.000+0000,2020-06-24T15:33:37.000+0000,2020-06-24T15:33:37.000+0000,,,true,C8192,HCC10,2014,,C8192HCC102014
a0x3h000000vRg9AAE,Map-185,false,2020-06-24T15:33:37.000+0000,2020-06-24T15:33:37.000+0000,2020-06-24T15:33:37.000+0000,,,true,C8193,HCC10,2014,,C8193HCC102014
a0x3h000000vRgAAAU,Map-186,false,2020-06-24T15:33:37.000+0000,2020-06-24T15:33:37.000+0000,2020-06-24T15:33:37.000+0000,,,true,C8194,HCC10,2014,,C8194HCC102014
a0x3h000000vRgBAAU,Map-187,false,2020-06-24T15:33:37.000+0000,2020-06-24T15:33:37.000+0000,2020-06-24T15:33:37.000+0000,,,true,C8195,HCC10,2014,,C8195HCC102014
a0x3h000000vRgCAAU,Map-188,false,2020-06-24T15:33:37.000+0000,2020-06-24T15:33:37.000+0000,2020-06-24T15:33:37.000+0000,,,true,C8196,HCC10,2014,,C8196HCC102014
a0x3h000000vRgDAAU,Map-189,false,2020-06-24T15:33:37.000+0000,2020-06-24T15:33:37.000+0000,2020-06-24T15:33:37.000+0000,,,true,C8197,HCC10,2014,,C8197HCC102014
a0x3h000000vRgEAAU,Map-190,false,2020-06-24T15:33:37.000+0000,2020-06-24T15:33:37.000+0000,2020-06-24T15:33:37.000+0000,,,true,C8198,HCC10,2014,,C8198HCC102014
a0x3h000000vRgFAAU,Map-191,false,2020-06-24T15:33:37.000+0000,2020-06-24T15:33:37.000+0000,2020-06-24T15:33:37.000+0000,,,true,C8199,HCC10,2014,,C8199HCC102014
a0x3h000000vRgGAAU,Map-192,false,2020-06-24T15:33:37.000+0000,2020-06-24T15:33:37.000+0000,2020-06-24T15:33:37.000+0000,,,true,C8200,HCC10,2014,,C8200HCC102014
